iter	Passed	Remaining
0	0	57
1	1	51
2	1	48
3	1	44
4	2	44
5	2	44
6	3	45
7	3	45
8	4	45
9	4	44
10	5	44
11	6	44
12	6	43
13	7	43
14	7	43
15	8	43
16	8	43
17	9	43
18	10	42
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	38
27	14	38
28	15	37
29	15	37
30	16	36
31	16	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	25	25
50	26	25
51	27	25
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	44	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	49	0
99	50	0
