iter	Passed	Remaining
0	0	712
1	1	669
2	1	637
3	2	604
4	2	591
5	3	594
6	4	585
7	4	579
8	5	579
9	5	575
10	6	574
11	6	572
12	7	570
13	8	575
14	8	576
15	9	575
16	9	570
17	10	571
18	10	566
19	11	569
20	12	572
21	12	573
22	13	573
23	14	573
24	14	574
25	15	575
26	15	575
27	16	572
28	16	568
29	17	564
30	17	562
31	18	558
32	18	556
33	19	554
34	20	551
35	20	551
36	21	549
37	21	549
38	22	548
39	22	545
40	23	542
41	23	540
42	24	537
43	24	535
44	25	535
45	25	533
46	26	532
47	26	530
48	27	528
49	27	526
50	28	524
51	28	522
52	29	521
53	29	518
54	30	517
55	30	518
56	31	518
57	31	516
58	32	516
59	32	515
60	33	514
61	33	512
62	34	511
63	34	511
64	35	511
65	36	511
66	36	511
67	37	512
68	37	511
69	38	510
70	39	510
71	39	509
72	40	509
73	40	508
74	41	507
75	41	507
76	42	507
77	42	505
78	43	506
79	43	504
80	44	503
81	44	502
82	45	498
83	45	497
84	46	497
85	46	497
86	47	496
87	47	496
88	48	497
89	49	497
90	49	496
91	50	495
92	50	494
93	51	494
94	51	494
95	52	494
96	53	494
97	53	494
98	54	493
99	54	493
100	55	493
101	55	492
102	56	492
103	57	491
104	57	492
105	58	491
106	58	492
107	59	491
108	60	492
109	60	491
110	61	491
111	61	491
112	62	491
113	63	491
114	63	490
115	64	490
116	64	489
117	65	489
118	66	489
119	66	488
120	67	487
121	67	486
122	68	485
123	68	484
124	69	484
125	69	483
126	70	482
127	70	481
128	71	481
129	71	480
130	72	479
131	72	479
132	73	478
133	73	477
134	74	476
135	74	476
136	75	475
137	75	474
138	76	474
139	77	474
140	77	473
141	78	472
142	78	471
143	79	469
144	79	468
145	80	468
146	80	467
147	81	466
148	81	465
149	82	465
150	82	464
151	83	463
152	83	463
153	84	462
154	84	461
155	85	461
156	85	460
157	86	459
158	86	458
159	87	456
160	87	455
161	87	453
162	88	453
163	88	452
164	89	451
165	89	450
166	90	449
167	90	448
168	91	447
169	91	446
170	91	445
171	92	444
172	92	443
173	93	442
174	93	442
175	94	442
176	95	442
177	95	441
178	96	440
179	96	440
180	97	439
181	97	438
182	98	437
183	98	436
184	98	435
185	99	434
186	99	433
187	100	432
188	100	432
189	101	431
190	101	431
191	102	430
192	102	429
193	103	428
194	103	427
195	104	426
196	104	426
197	104	425
198	105	424
199	105	423
200	106	422
201	106	421
202	107	421
203	107	421
204	108	421
205	109	420
206	109	420
207	110	419
208	110	419
209	111	418
210	111	417
211	112	416
212	112	415
213	113	415
214	113	414
215	114	413
216	114	413
217	114	412
218	115	411
219	115	410
220	116	409
221	116	409
222	117	408
223	117	407
224	118	406
225	118	405
226	119	405
227	119	404
228	120	404
229	120	403
230	120	402
231	121	401
232	121	401
233	122	401
234	123	401
235	123	400
236	124	399
237	124	399
238	125	398
239	125	398
240	126	398
241	126	397
242	127	396
243	127	395
244	128	395
245	128	394
246	129	393
247	129	392
248	130	392
249	130	391
250	130	390
251	131	389
252	131	389
253	132	388
254	132	388
255	133	388
256	134	388
257	134	387
258	135	387
259	135	386
260	136	386
261	136	385
262	137	385
263	138	384
264	138	384
265	139	384
266	139	383
267	140	383
268	140	382
269	141	382
270	141	381
271	142	381
272	142	380
273	143	380
274	143	379
275	144	379
276	145	378
277	145	378
278	146	377
279	146	377
280	147	376
281	147	376
282	148	375
283	148	375
284	149	374
285	149	373
286	150	373
287	150	372
288	151	372
289	151	371
290	152	370
291	152	370
292	153	370
293	153	369
294	154	369
295	155	369
296	155	368
297	156	368
298	156	367
299	157	366
300	157	366
301	158	366
302	158	365
303	159	365
304	159	364
305	160	363
306	160	362
307	161	362
308	161	361
309	162	360
310	162	360
311	163	359
312	163	358
313	164	358
314	164	357
315	165	357
316	165	356
317	166	356
318	166	355
319	167	355
320	167	354
321	168	354
322	168	353
323	169	353
324	169	352
325	170	352
326	171	351
327	171	351
328	172	350
329	172	350
330	172	349
331	173	349
332	173	348
333	174	347
334	174	346
335	175	346
336	175	345
337	176	344
338	176	344
339	177	343
340	177	343
341	178	343
342	178	342
343	179	342
344	179	341
345	180	341
346	180	340
347	181	339
348	181	339
349	182	338
350	182	337
351	183	337
352	183	337
353	184	336
354	185	336
355	185	335
356	186	335
357	186	334
358	187	334
359	187	333
360	188	332
361	188	332
362	188	331
363	189	331
364	189	330
365	190	330
366	191	329
367	191	328
368	191	328
369	192	327
370	192	327
371	193	326
372	194	326
373	194	325
374	195	325
375	195	324
376	196	324
377	196	323
378	197	323
379	198	323
380	198	322
381	199	322
382	199	322
383	200	321
384	201	321
385	201	320
386	202	320
387	202	319
388	203	319
389	204	319
390	204	318
391	205	318
392	205	317
393	206	317
394	206	316
395	207	315
396	207	315
397	207	314
398	208	314
399	209	313
400	209	313
401	210	312
402	210	312
403	211	311
404	211	310
405	212	310
406	212	309
407	213	309
408	213	308
409	213	307
410	214	307
411	214	306
412	215	306
413	216	305
414	216	305
415	216	304
416	217	303
417	217	303
418	218	302
419	218	302
420	219	301
421	219	300
422	220	300
423	220	299
424	220	298
425	221	298
426	222	298
427	222	297
428	223	297
429	223	296
430	224	295
431	224	295
432	224	294
433	225	293
434	225	293
435	226	292
436	226	292
437	227	291
438	227	291
439	228	290
440	229	290
441	229	290
442	230	289
443	230	289
444	231	288
445	231	287
446	232	287
447	232	286
448	233	286
449	233	285
450	234	285
451	234	284
452	235	284
453	236	283
454	236	283
455	237	282
456	237	282
457	238	281
458	238	281
459	238	280
460	239	279
461	239	279
462	240	279
463	241	278
464	241	278
465	242	277
466	242	276
467	242	276
468	243	275
469	243	275
470	244	274
471	244	273
472	245	273
473	245	272
474	246	272
475	246	271
476	247	271
477	247	270
478	248	270
479	248	269
480	249	269
481	249	268
482	250	267
483	250	267
484	251	267
485	252	266
486	252	266
487	253	265
488	253	265
489	254	264
490	254	264
491	255	263
492	255	263
493	256	262
494	256	262
495	257	261
496	257	260
497	258	260
498	258	260
499	259	259
500	260	259
501	260	258
502	261	258
503	261	257
504	262	257
505	262	256
506	263	256
507	263	255
508	264	255
509	264	254
510	265	254
511	266	253
512	266	253
513	267	252
514	267	252
515	268	251
516	268	251
517	269	250
518	269	250
519	270	249
520	270	248
521	271	248
522	271	247
523	272	247
524	272	246
525	273	246
526	273	245
527	274	245
528	275	244
529	275	244
530	276	243
531	276	243
532	277	242
533	277	242
534	278	241
535	278	241
536	279	240
537	279	240
538	280	239
539	281	239
540	281	239
541	282	238
542	282	238
543	283	237
544	283	236
545	284	236
546	284	235
547	285	235
548	285	234
549	286	234
550	286	233
551	287	233
552	287	232
553	288	232
554	288	231
555	289	231
556	289	230
557	290	229
558	290	229
559	291	228
560	291	228
561	292	227
562	292	227
563	293	226
564	293	226
565	294	225
566	294	225
567	295	224
568	295	224
569	296	223
570	296	223
571	297	222
572	298	222
573	298	221
574	299	221
575	300	220
576	300	220
577	301	219
578	301	219
579	302	218
580	302	218
581	303	217
582	303	217
583	304	216
584	304	216
585	305	215
586	305	215
587	306	214
588	306	214
589	307	213
590	307	213
591	308	212
592	308	211
593	309	211
594	309	210
595	310	210
596	310	209
597	311	209
598	311	208
599	312	208
600	313	207
601	313	207
602	314	206
603	314	206
604	315	205
605	315	205
606	316	204
607	316	204
608	317	203
609	317	203
610	318	202
611	318	202
612	319	201
613	319	200
614	320	200
615	320	199
616	321	199
617	321	198
618	322	198
619	323	198
620	323	197
621	324	197
622	325	196
623	325	196
624	326	195
625	326	195
626	327	194
627	327	194
628	328	193
629	328	193
630	329	192
631	330	192
632	330	191
633	331	191
634	331	190
635	332	190
636	332	189
637	333	189
638	333	188
639	334	187
640	334	187
641	335	186
642	335	186
643	336	185
644	336	185
645	337	184
646	337	184
647	338	183
648	338	183
649	339	182
650	339	182
651	340	181
652	340	181
653	341	180
654	341	179
655	342	179
656	342	178
657	343	178
658	343	177
659	344	177
660	345	176
661	345	176
662	346	175
663	346	175
664	346	174
665	347	174
666	347	173
667	348	173
668	349	172
669	349	172
670	350	171
671	350	171
672	351	170
673	351	170
674	352	169
675	352	169
676	353	168
677	353	167
678	354	167
679	354	166
680	355	166
681	355	165
682	356	165
683	356	164
684	357	164
685	357	163
686	358	163
687	358	162
688	359	162
689	359	161
690	360	161
691	361	160
692	361	160
693	362	159
694	362	159
695	363	158
696	363	158
697	364	157
698	364	157
699	365	156
700	365	156
701	366	155
702	366	155
703	367	154
704	368	154
705	368	153
706	369	152
707	369	152
708	370	151
709	370	151
710	371	150
711	371	150
712	371	149
713	372	149
714	372	148
715	373	148
716	374	147
717	374	147
718	375	146
719	375	146
720	376	145
721	377	145
722	377	144
723	378	144
724	378	143
725	379	143
726	379	142
727	380	142
728	380	141
729	381	141
730	381	140
731	382	140
732	382	139
733	383	138
734	384	138
735	384	137
736	384	137
737	385	136
738	385	136
739	386	135
740	386	135
741	387	134
742	388	134
743	388	133
744	389	133
745	389	132
746	390	132
747	390	131
748	391	131
749	391	130
750	392	130
751	392	129
752	393	129
753	393	128
754	394	127
755	394	127
756	395	126
757	395	126
758	396	125
759	396	125
760	397	124
761	397	124
762	398	123
763	398	123
764	399	122
765	399	122
766	400	121
767	401	121
768	401	120
769	402	120
770	402	119
771	403	119
772	403	118
773	404	118
774	404	117
775	405	117
776	406	116
777	406	116
778	407	115
779	407	114
780	408	114
781	408	113
782	409	113
783	409	112
784	410	112
785	410	111
786	410	111
787	411	110
788	412	110
789	412	109
790	412	109
791	413	108
792	413	108
793	414	107
794	414	106
795	415	106
796	415	105
797	416	105
798	416	104
799	417	104
800	417	103
801	418	103
802	418	102
803	419	102
804	419	101
805	419	101
806	420	100
807	420	100
808	421	99
809	421	98
810	422	98
811	422	97
812	423	97
813	423	96
814	424	96
815	424	95
816	425	95
817	425	94
818	426	94
819	427	93
820	427	93
821	428	92
822	428	92
823	429	91
824	429	91
825	430	90
826	430	90
827	431	89
828	431	89
829	432	88
830	432	87
831	433	87
832	433	86
833	434	86
834	434	85
835	434	85
836	435	84
837	435	84
838	436	83
839	436	83
840	437	82
841	438	82
842	438	81
843	438	81
844	439	80
845	439	80
846	440	79
847	440	79
848	441	78
849	442	78
850	442	77
851	443	76
852	443	76
853	444	75
854	444	75
855	445	74
856	445	74
857	446	73
858	447	73
859	447	72
860	447	72
861	448	71
862	448	71
863	449	70
864	449	70
865	450	69
866	451	69
867	451	68
868	452	68
869	452	67
870	453	67
871	453	66
872	453	66
873	454	65
874	454	64
875	455	64
876	455	63
877	456	63
878	456	62
879	457	62
880	457	61
881	458	61
882	458	60
883	459	60
884	459	59
885	460	59
886	460	58
887	461	58
888	461	57
889	461	57
890	462	56
891	463	56
892	463	55
893	464	55
894	464	54
895	464	53
896	465	53
897	465	52
898	466	52
899	466	51
900	467	51
901	467	50
902	468	50
903	468	49
904	469	49
905	470	48
906	470	48
907	471	47
908	471	47
909	472	46
910	472	46
911	473	45
912	473	45
913	474	44
914	474	44
915	475	43
916	475	43
917	476	42
918	476	42
919	477	41
920	477	40
921	478	40
922	478	39
923	479	39
924	479	38
925	480	38
926	480	37
927	481	37
928	482	36
929	482	36
930	483	35
931	483	35
932	484	34
933	485	34
934	485	33
935	486	33
936	486	32
937	487	32
938	488	31
939	488	31
940	489	30
941	490	30
942	490	29
943	490	29
944	491	28
945	491	28
946	492	27
947	492	27
948	493	26
949	493	25
950	494	25
951	494	24
952	495	24
953	496	23
954	496	23
955	497	22
956	497	22
957	498	21
958	498	21
959	498	20
960	499	20
961	499	19
962	500	19
963	500	18
964	501	18
965	502	17
966	502	17
967	502	16
968	503	16
969	503	15
970	504	15
971	504	14
972	505	14
973	505	13
974	506	12
975	506	12
976	507	11
977	507	11
978	508	10
979	508	10
980	509	9
981	509	9
982	510	8
983	510	8
984	511	7
985	511	7
986	512	6
987	512	6
988	513	5
989	514	5
990	514	4
991	514	4
992	515	3
993	516	3
994	516	2
995	517	2
996	517	1
997	517	1
998	518	0
999	518	0
